"movie","break_even","earnings_ratio","budget_raw","worldwide_gross","production_budget","even"
"The Chronicles of Narnia: The Voyage of the Dawn Treader",1,2.7,155000000,"$418,186,950","$155,000,000","Made money"
"Alexander",1,1.08,155000000,"$167,297,191","$155,000,000","Made money"
"Pearl Harbor",1,2.97,151500000,"$449,239,855","$151,500,000","Made money"
"Transformers",1,4.69,151000000,"$708,272,592","$151,000,000","Made money"
"Frozen",1,7.79,150000000,"$1,169,244,858","$150,000,000","Made money"
"Harry Potter and the Order of the Phoenix",1,6.29,150000000,"$942,943,935","$150,000,000","Made money"
"Harry Potter and the Goblet of Fire",1,5.98,150000000,"$896,911,078","$150,000,000","Made money"
"I am Legend",1,3.9,150000000,"$585,410,052","$150,000,000","Made money"
"Hancock",1,4.16,150000000,"$624,346,274","$150,000,000","Made money"
"Charlie and the Chocolate Factory",1,3.16,150000000,"$474,459,076","$150,000,000","Made money"
"Ratatouille",1,4.18,150000000,"$626,549,695","$150,000,000","Made money"
"Batman Begins",1,2.49,150000000,"$373,298,774","$150,000,000","Made money"
"Thor",1,3,150000000,"$449,326,618","$150,000,000","Made money"
"Madagascar: Escape 2 Africa",1,4,150000000,"$599,516,844","$150,000,000","Made money"
"X-Men Origins: Wolverine",1,2.5,150000000,"$374,825,760","$150,000,000","Made money"
"Night at the Museum: Battle of the Smithsonian",1,2.75,150000000,"$413,054,631","$150,000,000","Made money"
"Kung Fu Panda 2",1,4.43,150000000,"$664,837,547","$150,000,000","Made money"
"Mission: Impossible III",1,2.65,150000000,"$397,501,348","$150,000,000","Made money"
"Angels & Demons",1,3.27,150000000,"$490,875,846","$150,000,000","Made money"
"Troy",1,3.23,150000000,"$484,161,265","$150,000,000","Made money"
"The Last Airbender",1,2.13,150000000,"$319,713,881","$150,000,000","Made money"
"Bee Movie",1,1.92,150000000,"$287,594,577","$150,000,000","Made money"
"G-Force",1,1.92,150000000,"$287,389,685","$150,000,000","Made money"
"Bolt",1,2.09,150000000,"$313,953,759","$150,000,000","Made money"
"Wrath of the Titans",1,2.01,150000000,"$301,970,083","$150,000,000","Made money"
"Beowulf",1,1.3,150000000,"$194,995,215","$150,000,000","Made money"
"White House Down",1,1.37,150000000,"$205,440,387","$150,000,000","Made money"
"The Wolfman",0,0.95,150000000,"$142,634,358","$150,000,000","Lost money"
"Mars Needs Moms",0,0.26,150000000,"$39,549,758","$150,000,000","Lost money"
"Flushed Away",1,1.19,149000000,"$177,665,672","$149,000,000","Made money"
"Madagascar 3: Europe's Most Wanted",1,5.15,145000000,"$746,921,271","$145,000,000","Made money"
"Mission: Impossible - Ghost Protocol",1,4.79,145000000,"$694,713,230","$145,000,000","Made money"
"Tarzan",1,3.09,145000000,"$448,191,819","$145,000,000","Made money"
"Rise of the Guardians",1,2.12,145000000,"$306,900,902","$145,000,000","Made money"
"Sahara",0,0.84,145000000,"$121,671,925","$145,000,000","Lost money"
"Die Another Day",1,3.04,142000000,"$431,942,139","$142,000,000","Made money"
"Star Trek",1,2.75,140000000,"$385,680,446","$140,000,000","Made money"
"Armageddon",1,3.96,140000000,"$554,600,000","$140,000,000","Made money"
"Men in Black 2",1,3.16,140000000,"$441,767,803","$140,000,000","Made money"
"Captain America: The First Avenger",1,2.65,140000000,"$370,569,776","$140,000,000","Made money"
"Lethal Weapon 4",1,2.04,140000000,"$285,400,000","$140,000,000","Made money"
"G.I. Joe: Retaliation",1,2.66,140000000,"$371,923,060","$140,000,000","Made money"
"The Last Samurai",1,3.26,140000000,"$456,810,575","$140,000,000","Made money"
"Fun With Dick And Jane",1,1.44,140000000,"$201,798,116","$140,000,000","Made money"
"Spider-Man",1,5.91,139000000,"$821,565,375","$139,000,000","Made money"
"Watchmen",1,1.33,138000000,"$184,068,357","$138,000,000","Made money"
"Stealth",0,0.55,138000000,"$76,416,746","$138,000,000","Lost money"
"The Incredible Hulk",1,1.92,137500000,"$263,417,913","$137,500,000","Made money"
"Hulk",1,1.79,137000000,"$245,229,234","$137,000,000","Made money"
"Final Fantasy: The Spirits Within",0,0.62,137000000,"$85,131,830","$137,000,000","Lost money"
"The Twilight Saga: Breaking Dawn, Part 2",1,6.11,136200000,"$832,660,037","$136,200,000","Made money"
"The Croods",1,4.24,135000000,"$573,068,425","$135,000,000","Made money"
"The World is Not Enough",1,2.68,135000000,"$361,730,660","$135,000,000","Made money"
"Rango",1,1.82,135000000,"$245,504,574","$135,000,000","Made money"
"Master and Commander: The Far Side of the World",1,1.58,135000000,"$212,912,137","$135,000,000","Made money"
"Turbo",1,2.1,135000000,"$283,828,130","$135,000,000","Made money"
"Happy Feet Two",1,1.17,135000000,"$157,956,466","$135,000,000","Made money"
"Miami Vice",1,1.21,135000000,"$163,818,556","$135,000,000","Made money"
