Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type
1013200,Conway,"Conway,Arkansas,United States",21135,US,City
1013201,Corning,"Corning,Arkansas,United States",21135,US,City
1013202,Crossett,"Crossett,Arkansas,United States",21135,US,City
1013203,Danville,"Danville,Arkansas,United States",21135,US,City
1013204,Dardanelle,"Dardanelle,Arkansas,United States",21135,US,City
1013205,De Queen,"De Queen,Arkansas,United States",21135,US,City
1013206,DeWitt,"DeWitt,Arkansas,United States",21135,US,City
1013207,Decatur,"Decatur,Arkansas,United States",21135,US,City
1013208,Dermott,"Dermott,Arkansas,United States",21135,US,City
1013209,Des Arc,"Des Arc,Arkansas,United States",21135,US,City
1013210,Dumas,"Dumas,Arkansas,United States",21135,US,City
1013211,Dyess,"Dyess,Arkansas,United States",21135,US,City
1013212,El Dorado,"El Dorado,Arkansas,United States",21135,US,City
1013213,Elm Springs,"Elm Springs,Arkansas,United States",21135,US,City
1013214,England,"England,Arkansas,United States",21135,US,City
1013215,Enola,"Enola,Arkansas,United States",21135,US,City
1013216,Eureka Springs,"Eureka Springs,Arkansas,United States",21135,US,City
1013217,Fairfield Bay,"Fairfield Bay,Arkansas,United States",21135,US,City
1013218,Farmington,"Farmington,Arkansas,United States",21135,US,City
1013219,Fayetteville,"Fayetteville,Arkansas,United States",21135,US,City
1013220,Flippin,"Flippin,Arkansas,United States",21135,US,City
1013221,Floral,"Floral,Arkansas,United States",21135,US,City
1013222,Fordyce,"Fordyce,Arkansas,United States",21135,US,City
1013223,Forrest City,"Forrest City,Arkansas,United States",21135,US,City
1013224,Fountain Hill,"Fountain Hill,Arkansas,United States",21135,US,City
1013225,Friendship,"Friendship,Arkansas,United States",21135,US,City
1013226,Fort Smith,"Fort Smith,Arkansas,United States",21135,US,City
1013227,Gassville,"Gassville,Arkansas,United States",21135,US,City
1013228,Gentry,"Gentry,Arkansas,United States",21135,US,City
1013229,Gillham,"Gillham,Arkansas,United States",21135,US,City
1013230,Glenwood,"Glenwood,Arkansas,United States",21135,US,City
1013231,Gould,"Gould,Arkansas,United States",21135,US,City
1013232,Grady,"Grady,Arkansas,United States",21135,US,City
1013233,Gravette,"Gravette,Arkansas,United States",21135,US,City
1013234,Greenbrier,"Greenbrier,Arkansas,United States",21135,US,City
1013235,Greenwood,"Greenwood,Arkansas,United States",21135,US,City
1013236,Guion,"Guion,Arkansas,United States",21135,US,City
1013237,Hackett,"Hackett,Arkansas,United States",21135,US,City
1013238,Hamburg,"Hamburg,Arkansas,United States",21135,US,City
1013239,Hardy,"Hardy,Arkansas,United States",21135,US,City
1013240,Harrisburg,"Harrisburg,Arkansas,United States",21135,US,City
1013241,Harrison,"Harrison,Arkansas,United States",21135,US,City
1013242,Hartford,"Hartford,Arkansas,United States",21135,US,City
1013243,Hattieville,"Hattieville,Arkansas,United States",21135,US,City
1013244,Hazen,"Hazen,Arkansas,United States",21135,US,City
1013245,Heber Springs,"Heber Springs,Arkansas,United States",21135,US,City
1013246,Hector,"Hector,Arkansas,United States",21135,US,City
1013247,Helena,"Helena,Arkansas,United States",21135,US,City
1013248,Higden,"Higden,Arkansas,United States",21135,US,City
1013249,Hope,"Hope,Arkansas,United States",21135,US,City
1013250,Hot Springs National Park,"Hot Springs National Park,Arkansas,United States",21135,US,City
1013251,Hot Springs Village,"Hot Springs Village,Arkansas,United States",21135,US,City
1013252,Hoxie,"Hoxie,Arkansas,United States",21135,US,City
1013253,Humphrey,"Humphrey,Arkansas,United States",21135,US,City
1013254,Huntsville,"Huntsville,Arkansas,United States",21135,US,City
1013255,Imboden,"Imboden,Arkansas,United States",21135,US,City
1013256,Jacksonville,"Jacksonville,Arkansas,United States",21135,US,City
1013257,Jasper,"Jasper,Arkansas,United States",21135,US,City
1013258,Jessieville,"Jessieville,Arkansas,United States",21135,US,City
1013259,Joiner,"Joiner,Arkansas,United States",21135,US,City
1013260,Jonesboro,"Jonesboro,Arkansas,United States",21135,US,City
1013261,Keiser,"Keiser,Arkansas,United States",21135,US,City
1013262,Kensett,"Kensett,Arkansas,United States",21135,US,City
1013263,Lake Village,"Lake Village,Arkansas,United States",21135,US,City
1013264,Lavaca,"Lavaca,Arkansas,United States",21135,US,City
1013265,Lead Hill,"Lead Hill,Arkansas,United States",21135,US,City
1013266,Lepanto,"Lepanto,Arkansas,United States",21135,US,City
1013267,Leslie,"Leslie,Arkansas,United States",21135,US,City
1013268,Little Rock,"Little Rock,Arkansas,United States",21135,US,City
1013269,Little Rock Air Force Base,"Little Rock Air Force Base,Arkansas,United States",21135,US,City
1013270,Lockesburg,"Lockesburg,Arkansas,United States",21135,US,City
1013271,London,"London,Arkansas,United States",21135,US,City
1013272,Lonoke,"Lonoke,Arkansas,United States",21135,US,City
1013273,Lowell,"Lowell,Arkansas,United States",21135,US,City
1013274,Luxora,"Luxora,Arkansas,United States",21135,US,City
1013275,Lynn,"Lynn,Arkansas,United States",21135,US,City
1013276,Mabelvale,"Mabelvale,Arkansas,United States",21135,US,City
1013277,Magnolia,"Magnolia,Arkansas,United States",21135,US,City
1013278,Malvern,"Malvern,Arkansas,United States",21135,US,City
1013279,Mammoth Spring,"Mammoth Spring,Arkansas,United States",21135,US,City
1013280,Mansfield,"Mansfield,Arkansas,United States",21135,US,City
1013281,Marianna,"Marianna,Arkansas,United States",21135,US,City
1013282,Marion,"Marion,Arkansas,United States",21135,US,City
1013283,Marked Tree,"Marked Tree,Arkansas,United States",21135,US,City
1013284,Marmaduke,"Marmaduke,Arkansas,United States",21135,US,City
1013285,Marshall,"Marshall,Arkansas,United States",21135,US,City
1013286,Maumelle,"Maumelle,Arkansas,United States",21135,US,City
1013287,Maynard,"Maynard,Arkansas,United States",21135,US,City
1013288,McCrory,"McCrory,Arkansas,United States",21135,US,City
1013289,McGehee,"McGehee,Arkansas,United States",21135,US,City
1013290,McRae,"McRae,Arkansas,United States",21135,US,City
1013291,Melbourne,"Melbourne,Arkansas,United States",21135,US,City
1013292,Mena,"Mena,Arkansas,United States",21135,US,City
1013293,Monticello,"Monticello,Arkansas,United States",21135,US,City
1013294,Morrilton,"Morrilton,Arkansas,United States",21135,US,City
1013295,Mount Holly,"Mount Holly,Arkansas,United States",21135,US,City
1013296,Mount Ida,"Mount Ida,Arkansas,United States",21135,US,City
1013297,Mount Pleasant,"Mount Pleasant,Arkansas,United States",21135,US,City
1013298,Mount Vernon,"Mount Vernon,Arkansas,United States",21135,US,City
1013299,Mountain Home,"Mountain Home,Arkansas,United States",21135,US,City
1013300,Mountain View,"Mountain View,Arkansas,United States",21135,US,City
1013301,Mountainburg,"Mountainburg,Arkansas,United States",21135,US,City
1013302,Nashville,"Nashville,Arkansas,United States",21135,US,City
1013303,Newark,"Newark,Arkansas,United States",21135,US,City
1013304,Newport,"Newport,Arkansas,United States",21135,US,City
1013305,Norfork,"Norfork,Arkansas,United States",21135,US,City
1013306,Norman,"Norman,Arkansas,United States",21135,US,City
1013307,North Little Rock,"North Little Rock,Arkansas,United States",21135,US,City
1013308,Osceola,"Osceola,Arkansas,United States",21135,US,City
1013309,Ozark,"Ozark,Arkansas,United States",21135,US,City
